Country Code,Country Name,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
FCS,Fragile and conflict affected situations,"Literacy rate, adult total (% of people ages 15 and above)",61.5615387,62.0209198,61.98640823,63.12842178,63.33919907,64.62336731,60.51327896,60.53364944,60.02249146,60.28728867,60.10028076,62.01156998,62.43822861,63.40736008,62.14889145,64.27200317,65.00601959,63.49599075,63.74937057,63.98188019
FIN,Finland,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
FJI,Fiji,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
FRA,France,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
FRO,Faroe Islands,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.","Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
GAB,Gabon,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,82.28379822,,,,,,84.66716003,,
GBR,United Kingdom,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
GEO,Georgia,"Literacy rate, adult total (% of people ages 15 and above)",,99.65235138,,,,,,,,,,,,99.58618927,,,99.36425781,,99.55844116,
GHA,Ghana,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,71.49707031,,,,,,,,79.03964233,,
GIB,Gibraltar,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
GIN,Guinea,"Literacy rate, adult total (% of people ages 15 and above)",,,29.70401955,,,,,,,25.30773926,,,,32.0038414,,,,39.6176796,,
GMB,"Gambia, The","Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,41.95005035,,50.77796936,,,,,
GNB,Guinea-Bissau,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,45.5811615,,,,,,
GNQ,Equatorial Guinea,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,94.3705368,,,,,,,,,,
GRC,Greece,"Literacy rate, adult total (% of people ages 15 and above)",95.99436188,,,,93.04431152,,93.93154907,,93.90511322,,97.36873627,,,,,,,97.93595123,,
GRD,Grenada,"Literacy rate, adult total (% of people ages 15 and above)",,,,98.59999847,,,,,,,,,,98.59999847,,,,,,
GRL,Greenland,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,"Literacy rate, adult total (% of people ages 15 and above)",,69.10173035,,,,,,,,,,78.26486206,77.0386734,81.2858963,,,,80.81067657,,
GUM,Guam,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
GUY,Guyana,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,84.99401093,,,,,85.63973236,,,,,,
HIC,High income,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China","Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
HND,Honduras,"Literacy rate, adult total (% of people ages 15 and above)",80.0110321,,,,,,83.58898926,,,84.75536346,85.12329865,85.35555267,85.4644165,87.19753265,87.90682983,88.98748016,,87.20523834,88.50743103,
HPC,Heavily indebted poor countries (HIPC),"Literacy rate, adult total (% of people ages 15 and above)",51.00136185,51.45423126,52.2774086,53.71556854,52.9545517,51.33658981,52.86616898,53.10871887,53.25833893,54.07489014,56.10511017,57.33340073,58.3261795,59.1648407,59.64675903,60.4588089,61.38893127,61.88288879,62.5051918,63.05041122
HRV,Croatia,"Literacy rate, adult total (% of people ages 15 and above)",98.14668274,,,,,,,,,,99.12535858,,,,,,,,,
HTI,Haiti,"Literacy rate, adult total (% of people ages 15 and above)",,,58.7439003,,,48.68502045,,,,,,,,,,61.69134903,,,,
HUN,Hungary,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,99.09999847,,,,,,
IBD,IBRD only,"Literacy rate, adult total (% of people ages 15 and above)",82.84072876,83.26998901,83.93496704,84.32956696,84.36328888,84.42339325,85.49600983,85.84721375,86.25504303,86.83493042,87.19532776,87.69956207,87.86956024,88.34095764,88.45137787,88.81774902,89.0443573,89.06654358,89.36553192,89.62664032
IBT,IDA & IBRD total,"Literacy rate, adult total (% of people ages 15 and above)",77.94180298,78.39006805,79.03051758,79.53421021,79.46540833,79.73523712,80.10973358,80.68343353,81.05264282,81.57013702,81.8302002,82.35736084,82.59467316,83.07061005,83.28063965,83.81558228,84.09641266,84.12513733,84.4069519,84.65379333
IDA,IDA total,"Literacy rate, adult total (% of people ages 15 and above)",55.94876099,56.65605927,57.35177994,58.51794815,58.21184921,59.59798813,57.21633911,59.00651169,59.48891068,60.02117157,60.14294052,61.03731918,61.81953049,62.59421921,63.47595978,64.92926788,65.69051361,66.02430725,66.52632904,67.00737
IDB,IDA blend,"Literacy rate, adult total (% of people ages 15 and above)",58.79040146,59.4720993,60.08760071,61.30728912,60.70563889,66.53368378,59.77278137,61.00915146,61.94258881,62.39704895,62.47045898,63.87630844,63.7358284,64.59924316,65.02774048,65.72805786,66.58383179,66.5693512,66.98145294,67.39232635
