Country Code,Country Name,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DOM,Dominican Republic,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,9.681085036,9.182865838,8.969524179,9.460669736,9.524596193,9.115808296,9.082516255,9.057908619,9.103997265,9.444029122,9.610336042,,
DZA,Algeria,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,5.838134868,7.875487156,7.932148926,7.868794151,7.477740529,8.331513231,8.992725113,10.23346647,10.87406435,10.82163639,,
EAP,East Asia & Pacific (excluding high income),Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
EAR,Early-demographic dividend,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
EAS,East Asia & Pacific,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
ECA,Europe & Central Asia (excluding high income),Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
ECS,Europe & Central Asia,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,10.2810361,10.56124396,10.65087593,10.60616298,10.51228702,11.78607584,12.61366103,12.59490954,12.43090748,12.03924764,12.0732969,12.30920646,12.2451142,13.04051875,11.87087407,11.66343007,11.77699719,11.91476278,
EGY,"Egypt, Arab Rep.",Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
EMU,Euro area,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
ESP,Spain,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,6.255455888,6.368150757,6.690671252,5.865347063,6.418025857,6.094598445,5.92380484,5.756505027,6.79162346,7.241611817,7.443005041,7.788720614,7.615906488,7.552418118,7.592382727,6.498059856
EST,Estonia,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,8.236493477,8.672305347,9.282077483,8.924608973,9.883826089,11.25842184,11.59539021,10.75402971,10.82605197,12.77038406,12.71387377,12.07431823,10.315493
ETH,Ethiopia,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,8.670292774,8.598007388,7.976795294,7.15636507
EUU,European Union,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
FCS,Fragile and conflict affected situations,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
FIN,Finland,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,9.447984015,9.380474528,7.980016886,6.238106102,6.406595075,5.52473505,4.353541331,4.417333959,5.010861663,4.342636689,5.601509764,6.457187183,9.025842138,9.303519062,6.845244092,
FJI,Fiji,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,6.889270516,5.850369582,6.445679086,6.476994044,6.959055309,7.126462317,7.315991728,9.729297047,10.46424823,11.8476904,9.515860987,8.883817971,8.667470246,8.713918458,8.484491747,9.170700194,8.864193639,9.937814995,10.95989152,
FRA,France,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,3.727698511,4.098410716,4.877756124,4.753578917,5.20126648,5.818303401,5.282411977,5.79380342,6.24897238,6.594008456,6.525498551,6.610560832,6.181056379
FRO,Faroe Islands,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
FSM,"Micronesia, Fed. Sts.",Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,7.212428328,6.721794662,7.206269914,,,,,
GAB,Gabon,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,14.31475919,10.50058907,9.73706778,10.03648283,9.809466808,9.34746366,7.47072757,7.8450239,8.699081541,8.888809569,
GBR,United Kingdom,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,4.413281226,5.39304807,5.366119892,5.099565131,5.508962884,6.345486375,5.621322212,6.838229264,7.025170524,6.78469169,6.816460065,6.789918001,6.873027305
GEO,Georgia,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,30.70793536,28.27831914,26.4498346,21.923384,18.81661847,21.25020578,20.40821194,17.11395138,18.29339213,16.92171824,16.59710484,16.65004061,16.75204008,17.39698915,13.95858565,13.19505617,12.81932639,12.64305448,11.91855146,9.936932628
GHA,Ghana,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,10.40712628,12.55910979,13.29666407,13.74732317,14.77306583,14.71685195,14.32474988,14.52916368,13.17395783,13.10663309,15.77685913,14.52648257,
GIB,Gibraltar,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,10.19039245,11.1060534,10.55545127,10.98260484,11.86243262,13.14172562,12.11366576,11.92667775
GMB,"Gambia, The",Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,12.54791368,12.42956824,10.88457576,11.72525699,10.50230851,16.04104275,14.29640121,14.65437232,13.52013623,15.04876084,14.82830714,16.20754348,16.92089535,16.36625302,14.17825264,
GNB,Guinea-Bissau,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
GNQ,Equatorial Guinea,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,11.00074916,13.32356801,10.56874663,11.05390811,11.75467271,13.34758852,15.06352227,16.16746706,15.75642805,17.96892396,
GRC,Greece,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,5.674203481,6.959138939,6.664978008,,5.757538459,7.548293961,8.06153499,9.994418654,10.70009327,11.99737325,10.71579985,10.97830461,8.832371719
GRD,Grenada,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,5.098056115,5.706461888,6.67823792,5.573628,6.936755,10.128711
GRL,Greenland,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,6.906147222,6.725988959,6.596771674,6.626210616,6.915812011,6.944704758,6.863193181,7.053770472,6.96779717,7.08221948,6.937454343,6.479102814
GUM,Guam,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
HIC,High income,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
HKG,"Hong Kong SAR, China",Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,8.16,8.8,8.69,9.02,9.47,9.784437604,9.833592331,9.491409282,9.936605644,9.444719987
HND,Honduras,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,9.335545443,9.533578495,10.63591483,10.82617034,10.56009289,10.5068171,10.78198632,10.62225789,10.85093444,10.49417079,10.37784632,11.0076638,11.10331659,11.22254808,10.49490733
HPC,Heavily indebted poor countries (HIPC),Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
HRV,Croatia,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,10.1145597,12.34723261,13.32409268,13.76060323,13.76874747,13.56124453,14.22417892,13.89044235,14.04389241,12.6826346,14.04336544,14.82323773,13.90303792,13.85279694,13.37035573
HTI,Haiti,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
IBD,IBRD only,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
IBT,IDA & IBRD total,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
IDA,IDA total,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
IDB,IDA blend,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,8.6886536,9.267093379,9.202087172,9.102895221,10.11443024,10.66488,10.98567522,12.23714288,12.46651073,12.76181026,13.60586963,14.40569256,15.21768203,15.11532421,15.63229464,14.79936547
IDX,IDA only,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
IMN,Isle of Man,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
IND,India,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,6.702257602,6.969712806,6.923103346,7.087947358,7.212821163,7.155576706,7.39,7.528543782,8.108119317,8.103839108
INX,Not classified,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
IRL,Ireland,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,4.328549223,4.508042819,4.394678851,3.746222747,5.435206558,5.323119759,6.439533415,7.279201755,7.7487761,12.69623684,13.97379448,13.52653797,14.3478431,14.85966214,13.47394531,11.35788728
IRN,"Iran, Islamic Rep.",Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,8.825004429,10.4815324,14.15232817,15.25932697,13.52877605,
ISL,Iceland,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,20.33346954,21.05682283,20.08117648,19.33499915,17.03455278,16.65787159,15.74020812
ISR,Israel,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,5.158318877,5.346011987,5.619388775,5.521216454,5.86918025,6.289365374,6.111581817,6.479634186,6.696637098,6.33361733,6.61991783,6.976546228,7.099348516,7.058001664,7.218567029,7.395400449,7.43128793,7.550881641,6.746874027
ITA,Italy,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,4.612423882,4.604164002,4.589253734,4.089385207,4.816443029,4.979010891,5.447955505,5.385618941,5.404376373,5.880692473,6.185530291,5.493010154,6.635084795,6.333320109,6.712811712,6.603312223
JAM,Jamaica,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,14.51817072,14.93102519,15.02375288,14.67959693,,
JPN,Japan,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,12.82742601,5.33053258,11.06686096,10.97756766,10.9054608,10.58961854,11.85762495,10.58348335,11.04441779,12.46044194,11.78044848,13.24839311,
KEN,Kenya,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,10.26388063,10.74345972,11.04800576,12.03557035,13.55287893,13.26226219,13.5517108,14.29351503,14.24675213,14.41440901,14.29833348,14.55250259,14.32689672,15.58499478,14.61677573
KGZ,Kyrgyz Republic,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,22.49950913,20.97726,19.07087728,17.79099546,16.8752678,16.50303756,17.37254267,17.770999,17.32474541,18.21839947,17.56346569
KHM,Cambodia,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,20.12168975,17.32593463,16.21459336,16.75467442,14.35319064,14.22900599,14.25260694,13.96882005,13.92877513,13.55024494,14.21254442
KIR,Kiribati,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
KNA,St. Kitts and Nevis,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,7.41510336,8.118295306,8.712697328,8.037532,9.749971,12.115018
KOR,"Korea, Rep.",Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,6.29546466,7.294257584,7.595418921,8.113646119,8.231258432,8.272548922,8.13114345,8.028209415,7.87319981,7.993132725,7.955582859,7.819137106,
KWT,Kuwait,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,13.63603873,11.51776863,12.56649259,14.21164806,13.74299652,13.49543455,12.97269011,12.59926283,12.62518604,12.71567467,12.52227435,12.72201411,11.96945556,
LAC,Latin America & Caribbean (excluding high income),Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
LAO,Lao PDR,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
LBY,Libya,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
LCA,St. Lucia,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,3.529741679,3.412527573,5.067131883,5.439058461,6.634203307,7.914292485
LCN,Latin America & Caribbean,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
LDC,Least developed countries: UN classification,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
LIC,Low income,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
LIE,Liechtenstein,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,8.721269864,8.545309303,8.240904339,8.158253763,7.882139617,7.818252805,8.423429346,8.736387109,9.022792446,8.551351841
LMC,Lower middle income,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
LMY,Low & middle income,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,8.934926167,8.96409204,10.11293867,11.36730645,10.36347518,9.57677512,9.307822716,11.93409765,11.1220687,11.50516137,12.55708434,12.24624999
LTE,Late-demographic dividend,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
LTU,Lithuania,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,8.233655708,7.305816601,8.529617453,10.77590445,12.28335165,12.61998042,12.91226911,11.05792505,8.627718702,9.386035351,9.605509749,6.884604165,
LUX,Luxembourg,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,4.34116413,5.53732069,5.23441668,4.997627663,6.283780652,6.391903264,6.495624415,7.010517614,7.355653733,8.350982405,7.978708957,7.44086666,8.638650537
LVA,Latvia,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,7.747280938,7.701073931,9.274091736,9.926129553,10.48375724,11.30377552,10.07443178,10.06332947,10.07565007,11.13043539,12.80228965,9.704633034,10.0156571
